SubjectID,RandomOrdering,Environment,Trial, ObjectId, RealStartVectorX, RealStartVectorY, RealStartVectorZ, PerfectStartVectorX, PerfectStartVectorY, PerfectStartVectorZ, RealStartAngleX, RealStartAngleY, RealStartAngleZ, PerfectStartAngleX, PerfectStartAngleY, PerfectStartAngleZ, StartErrorX, StartErrorY, StartErrorZ, RealEndVectorX, RealEndVectorY, RealEndVectorZ, PerfectEndVectorX, PerfectEndVectorY, PerfectEndVectorZ, RealEndAngleX, RealEndAngleY, RealEndAngleZ, PerfectEndAngleX, PerfectEndAngleY, PerfectEndAngle, EndErrorX, EndErrorY, EndErrorZ, RealChangeX, RealChangeY, RealChangeZ, PerfectChangeX, PerfectChangeY, PerfectChangeZ, ChangeErrorX, ChangeErrorY, ChangeErrorZ, ElapsedTime,,,Item Index,Item Name,,,,,,,,,,
0,1,full,14,6,-0.04564942,0.2227054,-0.9738166,-0.02807559,-0.1231203,-0.9919946,167.1183,182.6839,348.4162,187.075,181.6212,192.8457,19.95667,1.062698,-155.5704,0.379079,-0.847734,-0.3710076,0.276166,-0.9483239,-0.1562503,246.3636,134.3835,155.9074,260.6437,119.5005,163.7637,14.28015,14.88299,7.856293,79.24524,48.30038,-192.5088,73.56873,62.12067,-29.08206,-5.676514,-13.82029,163.4267,3.453874,,,,,,,,,,,,,,
0,1,full,15,5,0.02798101,0.2372482,-0.9710462,-0.03211617,-0.1293747,-0.9910756,166.2703,178.3495,6.72638,187.4373,181.856,193.9414,21.16698,-3.506577,187.215,0.9668162,0.1063371,0.2322909,0.9892293,-0.1118573,-0.09441008,24.59716,76.48997,83.72344,229.8349,95.45168,96.45133,205.2377,-18.96171,12.72789,-141.6732,101.8595,76.99706,42.39755,86.40437,-97.49004,184.0707,15.45513,-174.4871,2.964742,,,,,,,,,,,,,,
0,1,full,16,0,-0.1086216,0.1560341,-0.9817611,-0.1017442,-0.1165247,-0.9879626,170.9693,186.3135,325.1567,186.7266,185.8798,221.126,15.75729,0.4336853,-104.0307,-0.1144994,-0.2438357,-0.9630339,-0.175835,-0.3741196,-0.9105583,194.2084,186.7803,205.1536,202.3362,190.9297,205.1734,8.127777,-4.149353,0.01977539,23.23907,-0.4668121,-120.0031,15.60956,-5.04985,-15.95264,-7.629517,4.583038,104.0504,3.887435,,,,,,,,,,,,,,
0,1,full,17,2,-0.1360795,-0.2685656,-0.9536012,-0.02754473,-0.09803003,-0.9948022,195.729,188.1213,206.8709,185.6279,181.586,195.6944,-10.10109,6.535278,-11.17645,-0.619673,0.09788059,0.7787328,-0.9070603,-0.08359464,0.4126179,7.164059,321.4891,278.976,348.5471,294.4606,264.7345,341.3831,27.02856,-14.24152,-188.5649,-133.3678,72.10513,162.9192,-112.8745,69.04007,351.4841,-20.49329,-3.065063,3.431542,,,,,,,,,,,,,,
0,1,full,18,3,0.1054864,-0.4755968,-0.8733159,0.03505009,-0.06701867,-0.9971359,208.5721,173.1127,167.4944,183.8451,177.9868,152.3909,-24.72702,-4.87413,-15.10347,0.3293958,-0.9437641,0.02842245,-0.1623776,-0.8533026,0.4954879,271.725,85.06835,160.7598,300.1425,341.8554,190.7742,28.41748,-256.787,30.01436,63.15286,88.04435,-6.734543,116.2974,-163.8685,38.38329,53.1445,251.9129,45.11783,2.942583,,,,,,,,,,,,,,
0,1,full,19,0,-0.01313016,0.2234372,-0.97463,0.01225849,-0.1223169,-0.9924154,167.0879,180.7718,356.6369,187.0264,179.2923,174.277,19.93848,1.479538,-182.3599,-0.1824586,-0.4095545,-0.8938535,-0.1720262,-0.3627758,-0.9158607,204.6168,191.5371,204.0132,201.6087,190.6379,205.37,-3.008057,0.8991394,1.356827,37.52888,-10.76523,-152.6237,14.58235,-11.34563,31.09306,-22.94653,0.5803986,183.7168,3.255901,,,,,,,,,,,,,,
0,1,full,20,8,-0.08086059,-0.5157695,-0.8529031,0.06989441,-0.07033633,-0.9950716,211.1623,185.4158,188.9101,184.0432,175.9821,135.1806,-27.11908,9.433716,-53.72955,0.1027,0.477694,-0.8725029,0.2112727,0.0222539,-0.9771738,151.2994,173.2867,12.1334,178.6954,167.8,83.98706,27.39603,5.486755,71.85366,-59.86293,12.12907,-176.7767,-5.347824,8.182114,-51.1935,54.51511,3.94696,125.5832,3.45443,,,,,,,,,,,,,,
0,1,full,21,7,0.09704439,0.4967802,-0.8624337,0.005885669,-0.1348541,-0.990848,150.0571,173.5799,11.05335,187.7503,179.6597,177.5009,37.69318,-6.079803,166.4476,0.5604973,0.483061,-0.6726776,0.3946066,0.4807889,-0.7830247,144.3172,140.1978,49.24381,148.4494,153.2541,39.37738,4.132202,-13.05629,-9.866428,-5.739899,33.38205,38.19046,-39.30087,26.40556,-138.1235,-33.56097,6.976486,-176.314,3.252634,,,,,,,,,,,,,,
0,1,full,22,2,-0.02429677,0.04344795,-0.9987602,-0.0452797,-0.106649,-0.9932652,177.5091,181.3936,330.7854,186.1285,182.6101,203.0045,8.6194,-1.216568,-127.7809,-0.6217345,0.08239473,0.7788821,-0.8804948,-0.09513109,0.4644127,6.038625,321.4017,277.5491,348.4236,297.8092,263.8335,342.3849,23.59253,-13.71555,-171.4705,-140.0082,-53.23633,162.2951,-115.1991,60.82903,333.7656,-24.8091,114.0654,4.298104,,,,,,,,,,,,,,
0,1,full,23,5,0.01932693,0.08834492,-0.9959026,0.02179725,-0.1146693,-0.9931645,174.9306,178.8882,12.34,186.5861,178.7427,169.2372,11.65547,0.1455078,156.8972,0.9968864,0.07611247,0.02060176,0.9824606,-0.1020696,-0.1560543,74.85437,88.81609,85.63393,213.1873,99.02547,95.93128,138.3329,-10.20939,10.29736,-100.0763,90.07214,73.29393,26.60117,79.71725,-73.30589,126.6774,10.3549,-146.5998,3.36584,,,,,,,,,,,,,,2) paint can error flipped
0,1,full,24,4,-0.0368605,0.1177354,-0.9923608,-0.0207322,-0.1117305,-0.9935223,173.2339,182.1272,342.6158,186.4165,181.1954,190.512,13.18251,0.9317932,-152.1038,0.6910703,0.5125189,0.5096531,0.5220423,0.6926168,0.4977487,45.16064,53.59183,53.43824,54.2971,46.36465,37.00624,9.136463,7.22718,-16.432,-128.0733,128.5354,-289.1775,-132.1194,134.8308,-153.5057,-4.046051,-6.29538,135.6718,3.466497,,,,,,,,,,,,,,5) books similar 
0,1,full,25,6,-0.07373854,0.1293666,-0.9888514,-0.0318554,-0.1135,-0.9930272,172.5466,184.2646,330.317,186.5204,181.8374,195.6775,13.97383,2.427261,-134.6395,0.3500199,-0.8028851,-0.4825575,0.2993841,-0.9333259,-0.198171,238.9929,144.045,156.4451,258.0125,123.5017,162.2153,19.01965,20.54327,5.770187,66.44629,40.21964,-173.8719,71.49211,58.33564,-33.46228,5.045822,-18.116,140.4097,3.333428,,,,,,,,,,,,,,
0,1,full,26,1,-0.006033645,0.2497252,-0.9682981,0.002640289,-0.1228164,-0.9924259,165.5385,180.357,358.6159,187.0547,179.8476,178.7685,21.5162,0.5094604,-179.8475,-0.3041707,0.740168,-0.5996931,-0.2687005,0.7555898,-0.5973977,129.0148,206.8946,337.6599,128.3312,204.2175,340.4238,-0.6835785,2.677109,2.763885,-36.52368,-26.53758,-20.95605,-58.72346,-24.36993,161.6553,-22.19978,-2.167648,182.6114,3.553298,,,,,,,,,,,,,,
0,1,full,27,0,-0.008361702,0.1506273,-0.9885555,0.01855804,-0.1199059,-0.9926118,171.3364,180.4846,356.8226,186.8879,178.9289,171.202,15.55145,1.55571,-185.6206,-0.09746948,-0.552909,-0.8275214,-0.1678971,-0.3599176,-0.9177526,213.7489,186.7176,189.9977,201.4138,190.3673,205.0085,-12.33513,-3.649643,15.01082,42.41248,-6.233002,-166.825,14.52589,-11.43835,33.80643,-27.88658,5.205353,200.6314,4.008909,,,,,,,,,,,,,,
0,1,full,28,2,0.0124205,0.06268506,-0.9979563,0.01926261,-0.1138602,-0.99331,176.4058,179.2869,11.2075,186.5391,178.889,170.3978,10.13333,0.3979034,159.1902,-0.6831708,-0.01310772,0.730141,-0.9151131,-0.07938623,0.3953048,358.9715,316.9035,268.9008,348.6447,293.3631,265.042,-10.32678,23.54041,-3.858826,182.5658,-137.6165,257.6933,162.1056,-114.474,94.64424,-20.46011,-23.1425,-163.0491,3.721361,,,,,,,,,,,,,,
0,1,full,29,5,-0.0631343,0.227758,-0.971669,-0.02855662,-0.1108686,-0.9934248,166.8081,183.7176,344.5067,186.368,181.6465,194.4438,19.55991,2.07103,-150.0629,0.9963086,0.06185056,-0.05952905,0.9754474,-0.1058722,-0.1931154,133.9043,93.41933,86.44765,208.733,101.1984,96.19447,74.82872,-7.77906,9.746819,-32.90379,90.29824,-258.059,22.36502,80.44815,-98.24933,55.26881,9.85009,159.8097,3.721087,,,,,,,,,,,,,,
1,2,full,0,2,0.05038463,0.1865236,-0.9811578,-0.0050592,-0.1612095,-0.9869072,169.2362,177.0603,15.11624,189.2772,180.2937,181.7975,20.04102,-3.233398,166.6813,-0.4934799,0.1433834,0.8578571,-0.9073134,-0.1991624,0.3702926,9.488781,330.0905,286.2015,331.7263,292.2014,257.6195,322.2376,37.8891,-28.58206,-159.7474,-153.0301,271.0853,142.4491,-111.9076,75.82198,302.1965,-41.1225,-195.2633,6.840745,,,,,,,,,,,,,,
1,2,full,1,0,0.03263011,0.1490488,-0.9882915,0.001238213,-0.1559971,-0.9877567,171.4236,178.109,12.34851,188.9746,179.9282,179.5452,17.55103,-1.819199,167.1967,-0.18539,-0.272033,-0.944261,-0.1625136,-0.3741988,-0.9129975,196.0712,191.1078,214.2744,202.2866,190.0929,203.4752,6.215408,1.014847,-10.79919,24.64761,-12.99881,201.9259,13.312,-10.16476,23.92995,-11.33562,-2.834045,-177.9959,5.954712,,,,,,,,,,,,,,
1,2,full,2,3,0.02995021,0.1155077,-0.9928551,0.00237239,-0.1565147,-0.9876728,173.3641,178.2722,14.53621,189.0047,179.8624,179.1316,15.64059,-1.590225,164.5954,0.3989291,-0.6457639,0.6510335,-0.1541385,-0.9422156,0.297441,315.2328,31.49842,148.2938,287.52,332.6061,189.2908,-27.71283,-301.1077,40.99706,141.8687,146.7737,133.7576,98.5153,-152.7437,10.15921,-43.35342,299.5175,-123.5983,5.318276,,,,,,,,,,,,,,
1,2,full,3,4,-0.01980319,0.1881243,-0.9819458,0.000583836,-0.1567429,-0.9876392,169.1545,181.1553,353.9908,189.0179,179.9661,179.7866,19.86339,1.189224,-174.2042,0.6209912,0.4610857,0.6338532,0.5323583,0.7174388,0.4493064,36.03338,44.41275,53.40613,57.94254,49.83589,36.57639,21.90916,-5.423138,-16.82975,-133.1211,136.7426,-300.5847,-131.0753,130.1302,-143.2102,2.045776,6.612366,157.3745,4.308137,,,,,,,,,,,,,,
