Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9
4.583038,-20.6759,-23.1425,251.9129,-0.4489288,10.3549,-18.116,1.32312,3.94696
0.2678528,12.06462,-29.84514,313.0468,6.612366,11.85024,-34.17368,5.268188,1.795837
-32.27896,-37.86317,2.738449,325.4745,29.04045,21.79022,-8.392776,9.107635,23.3575
6.275696,9.344543,-13.487,255.1537,-25.25607,6.977219,-2.853241,-4.87822,-1.309097
-18.8976,6.126099,-2.574219,26.98088,-20.4864,12.74273,-18.52637,10.93829,15.98019
-8.052841,-1.939301,9.646759,15.25009,3.299881,13.8521,-20.37364,3.369873,0.9194489
-12.25789,-12.76021,-44.28102,240.2105,37.62119,19.67091,-6.426315,0.9685669,-1.140121
-11.70332,-3.879684,-3.557083,-6.447357,12.95894,5.391304,-4.394775,-8.795105,-1.284622
