Obj1,Obj2,Obj3,Obj4,Obj5,Obj6,Obj7,Obj8,Obj9
-22.94653,-22.19978,333.7656,13.86418,-0.186264,126.6774,-3.501038,-21.98993,29.21864
-12.33501,-27.51686,315.7607,-44.75053,2.045776,163.8833,15.87082,-16.72125,6.381744
-18.53587,6.260681,127.1926,-37.09659,6.703964,14.63437,28.24832,-1.142944,17.7034
-0.9935608,-10.99652,3.934128,6.092087,11.46544,-30.69334,20.48743,11.31783,20.99257
5.881042,-10.89214,-338.2539,-12.72348,40.41119,-21.4201,40.13266,-25.46912,2.28006
2.303085,-15.40865,5.857132,-8.18576,1.990005,-94.45581,14.76184,7.643448,11.3029
0.4974823,9.160263,211.324,-13.2493,37.79971,52.89636,12.52914,22.71274,17.21248
-2.655746,-15.33417,-15.64177,-15.07028,14.51392,40.11172,9.853271,-11.55803,9.149734
